model,split,population,group,count,observed_bad,expected_bad,average_probability,observed_good,expected_good
accepted_only,test,synthetic_rejected,3,2156,112,100.91222826224858,0.0468053006782229,2044,2055.0877717377516
accepted_only,test,synthetic_rejected,4,2156,129,127.5426527763655,0.0591570745715981,2027,2028.4573472236345
accepted_only,test,synthetic_rejected,5,2155,179,161.28569969410873,0.07484255206223143,1976,1993.7143003058914
accepted_only,test,synthetic_rejected,6,2156,219,206.8653584579649,0.09594868203059596,1937,1949.134641542035
accepted_only,test,synthetic_rejected,7,2156,281,268.7385546131066,0.12464682495969694,1875,1887.2614453868935
accepted_only,test,synthetic_rejected,8,2156,393,368.2487839731394,0.17080184785396074,1763,1787.7512160268607
accepted_only,test,synthetic_rejected,9,2156,670,634.218597300633,0.29416446999101714,1486,1521.781402699367
parcelled,test,full,0,6151,73,81.32801495152604,0.013221917566497488,6078,6069.671985048474
parcelled,test,full,1,6150,111,145.50274658059968,0.023658983183837346,6039,6004.4972534194
parcelled,test,full,2,6150,185,203.27639205210716,0.033053071878391405,5965,5946.723607947893
parcelled,test,full,3,6150,207,267.9200908679024,0.043564242417545106,5943,5882.079909132098
parcelled,test,full,4,6151,329,341.03797696326455,0.05544431425187198,5822,5809.962023036735
parcelled,test,full,5,6150,372,428.8560120805191,0.06973268489114132,5778,5721.14398791948
parcelled,test,full,6,6150,529,547.5169082157882,0.08902713954728264,5621,5602.483091784212
parcelled,test,full,7,6150,660,714.142821531966,0.11612078398893756,5490,5435.857178468034
parcelled,test,full,8,6150,889,976.4674545258716,0.15877519585786531,5261,5173.532545474129
parcelled,test,full,9,6151,1610,1662.067484164628,0.2702109387359174,4541,4488.932515835372
parcelled,test,synthetic_accepted,0,3995,42,48.051235037585116,0.012027843563851092,3953,3946.9487649624148
parcelled,test,synthetic_accepted,1,3994,58,85.0153010288839,0.021285753888053052,3936,3908.984698971116
parcelled,test,synthetic_accepted,2,3994,100,118.44930955697089,0.029656812608154955,3894,3875.550690443029
parcelled,test,synthetic_accepted,3,3995,135,155.10468543989649,0.03882470223777133,3860,3839.8953145601035
parcelled,test,synthetic_accepted,4,3994,161,197.88426491722137,0.04954538430576399,3833,3796.1157350827784
parcelled,test,synthetic_accepted,5,3994,226,248.38365664830968,0.062189197959015945,3768,3745.6163433516904
parcelled,test,synthetic_accepted,6,3995,307,316.2306505974332,0.07915660840987064,3688,3678.7693494025666
parcelled,test,synthetic_accepted,7,3994,370,412.11765782722097,0.10318419074291962,3624,3581.882342172779
parcelled,test,synthetic_accepted,8,3994,503,566.6647266374617,0.14187900015960483,3491,3427.3352733625384
parcelled,test,synthetic_accepted,9,3995,915,979.5328828430055,0.24518970784555832,3080,3015.4671171569944
parcelled,test,synthetic_rejected,0,2156,31,36.42766919073262,0.016895950459523478,2125,2119.5723308092674
parcelled,test,synthetic_rejected,1,2156,60,64.22020009432151,0.029786734737625935,2096,2091.7797999056784
parcelled,test,synthetic_rejected,2,2156,73,90.0292373023611,0.041757531216308486,2083,2065.9707626976387
parcelled,test,synthetic_rejected,3,2156,122,116.90522176006122,0.05422320118741244,2034,2039.0947782399387
parcelled,test,synthetic_rejected,4,2156,127,147.30824883931163,0.06832479074179575,2029,2008.6917511606885
parcelled,test,synthetic_rejected,5,2155,178,185.01780251072086,0.0858551287752765,1977,1969.982197489279
parcelled,test,synthetic_rejected,6,2156,228,235.20624743465132,0.10909380678787167,1928,1920.7937525653488
parcelled,test,synthetic_rejected,7,2156,276,301.69087156117064,0.1399308309652925,1880,1854.3091284388292
parcelled,test,synthetic_rejected,8,2156,392,403.7945187253282,0.187288737813232,1764,1752.205481274672
parcelled,test,synthetic_rejected,9,2156,661,660.0815139815248,0.3061602569487592,1495,1495.918486018475
oracle,test,full,0,6151,64,73.15734842841654,0.011893569895694447,6087,6077.842651571584
oracle,test,full,1,6150,116,129.3084924199873,0.021025771125201185,6034,6020.6915075800125
oracle,test,full,2,6150,185,180.1193291800582,0.02928769580163548,5965,5969.880670819942
oracle,test,full,3,6150,195,237.2002475408828,0.03856914594160696,5955,5912.799752459117
oracle,test,full,4,6151,311,302.2976349215825,0.049146095744038776,5840,5848.702365078418
oracle,test,full,5,6150,380,382.4095771489942,0.06218041904861694,5770,5767.590422851006
oracle,test,full,6,6150,540,490.94669688713515,0.07982873120116019,5610,5659.053303112865
oracle,test,full,7,6150,649,647.7470339764598,0.10532472097178207,5501,5502.2529660235405
oracle,test,full,8,6150,879,906.2765569349513,0.14736204177804085,5271,5243.723443065049
oracle,test,full,9,6151,1646,1639.4942509184161,0.26654109102884344,4505,4511.505749081583
oracle,test,synthetic_accepted,0,3995,41,43.36856025611652,0.010855709701155574,3954,3951.6314397438837
oracle,test,synthetic_accepted,1,3994,60,75.83677630586759,0.018987675589851673,3934,3918.1632236941323
oracle,test,synthetic_accepted,2,3994,96,105.03964319884388,0.026299359839470175,3898,3888.960356801156
oracle,test,synthetic_accepted,3,3995,133,137.4275206733113,0.034399880018350766,3862,3857.5724793266886
