population,feature,bin,expected_share,actual_share,csi_contribution
validation,PREV_ACCEPTED_RATE,N1,0.05146716095953519,0.05074631719293682,1.0167433100450713e-05
validation,PREV_ACCEPTED_RATE,N2,0.045602853023749904,0.0452343013235342,2.9906507318452115e-06
validation,PREV_ACCEPTED_RATE,N3,0.10180698730664585,0.1014113362167084,1.540608937661133e-06
validation,PREV_ACCEPTED_RATE,N4,0.05707673463193609,0.05596565965334461,2.1841847408244575e-05
validation,PREV_ACCEPTED_RATE,N5,0.08827897195755152,0.08495658677766577,0.00012745185798573205
validation,PREV_ACCEPTED_RATE,N6,0.5486054654049191,0.5525348769145719,2.8044273302561874e-05
validation,REGION_RATING_CLIENT_W_CITY,N0,0.11125383456364563,0.11009398068355501,1.2155289034354723e-05
validation,REGION_RATING_CLIENT_W_CITY,N1,0.7456234485599385,0.7486910994764397,1.2595066249625598e-05
validation,REGION_RATING_CLIENT_W_CITY,N2,0.14312271687641595,0.1412149198400052,2.5601564351551962e-05
validation,NAME_EDUCATION_TYPE,C0,0.2423823615492179,0.2451627589346688,3.171273018288965e-05
validation,NAME_EDUCATION_TYPE,C1,0.7448213066241748,0.7416669376605639,1.3387335597043608e-05
validation,NAME_EDUCATION_TYPE,C2,0.012796331826607265,0.013170303404767325,1.0772624999656422e-05
test,EXT_SOURCE_2,MISSING,0.0022384095910160102,0.0020161618132448823,2.3240449719154556e-05
test,EXT_SOURCE_2,N0,0.061109123822531516,0.06297253792497927,5.5972383670779506e-05
test,EXT_SOURCE_2,N1,0.05770002059553619,0.057671983480480624,1.3626873216058343e-08
test,EXT_SOURCE_2,N10,0.04789004151626505,0.04698957774417508,1.709238204820796e-05
test,EXT_SOURCE_2,N11,0.09316770186335403,0.09180039998048875,2.0214820537961504e-05
test,EXT_SOURCE_2,N12,0.045386057905975954,0.04542867827585646,4.0004434048615745e-08
test,EXT_SOURCE_2,N13,0.045592013267861206,0.045997756207014295,3.59490826458424e-06
test,EXT_SOURCE_2,N14,0.04427498292738447,0.04489211908362194,8.542682405917095e-06
test,EXT_SOURCE_2,N15,0.04368421623145047,0.04206298879729444,6.131259099106793e-05
test,EXT_SOURCE_2,N16,0.04292543331924165,0.04233939807814253,8.055905495828177e-06
test,EXT_SOURCE_2,N17,0.042150390773199785,0.04256702925060566,4.098071454958256e-06
test,EXT_SOURCE_2,N2,0.05634505110944901,0.056712680682243145,2.3908489405754303e-06
test,EXT_SOURCE_2,N3,0.05647512818011338,0.05573711851454401,9.707783881301241e-06
test,EXT_SOURCE_2,N4,0.05499550150130619,0.05651756824870331,4.1552637230363445e-05
test,EXT_SOURCE_2,N5,0.05388984640065906,0.05344454742045104,3.6948514334385126e-06
test,EXT_SOURCE_2,N6,0.05235602094240838,0.053005544444986424,8.008349597093789e-06
test,EXT_SOURCE_2,N7,0.05126662547559429,0.050875567045509974,2.994402982132664e-06
test,EXT_SOURCE_2,N8,0.050724637681159424,0.05126579191258963,5.742708440020548e-06
test,EXT_SOURCE_2,N9,0.09782879689549391,0.09770255109506853,1.6302249745148412e-07
test,EXT_SOURCE_3,MISSING,0.19815073764538824,0.1999252069004764,1.5819905905657972e-05
test,EXT_SOURCE_3,N0,0.04979241867473144,0.04838788351787718,4.0188378994460925e-05
test,EXT_SOURCE_3,N1,0.04732095433210844,0.05006259857242736,0.00015441211038571414
test,EXT_SOURCE_3,N10,0.03611806662113969,0.03580313155455831,2.7581501039190393e-06
test,EXT_SOURCE_3,N11,0.03969518606440983,0.03864852121034746,2.7968359931564737e-05
test,EXT_SOURCE_3,N12,0.03633486173891364,0.036160837682714664,8.354821195389552e-07
test,EXT_SOURCE_3,N13,0.03561943785025961,0.035526722273710225,2.4164854395722463e-07
test,EXT_SOURCE_3,N14,0.10425135225954711,0.10524689852527519,9.46184346667431e-06
test,EXT_SOURCE_3,N15,0.03384713776245759,0.03417719460839309,3.2029237963571025e-06
